dma_region,day,campaign_name,ad_set_name,ad_name,impressions,amount_spent_aud,link_clicks,attribution_setting,reach,frequency,adds_to_cart,2_second_continuous_video_plays,3_second_video_plays,video_plays_at_25,video_plays_at_50,video_plays_at_75,video_plays_at_95,video_plays_at_100,video_average_play_time,reporting_starts,reporting_ends
Harlingen-Wslco-Brnsvl-Mca,2025-10-19,"Seasonal Collection | Stories ,Reels & Feeds | US Only",Full Cup Certified | US Only,Seasonal Shape Sessions | Ad | GIF | Diversity | Product | Standard | Helen Maxi Navy,1,0.03,,Incremental,1,1,,,1,,,,,,,2025-10-19,2025-10-19
Unknown,2025-10-19,Newness: Collection Ads | Azurae Collection | Feed & Reels |  US,Drop #4 | ED: 22/10/2025,Azurae Collection Drop 4 | Video 6 (Campaign) | ED: 21/10/2025,1,0,5,Incremental,1,1,,,27,,,,,,,2025-10-19,2025-10-19
Las Vegas,2025-10-19,Newness: Collection Ads | Azurae Collection | Feed & Reels |  US,Drop #4 | ED: 22/10/2025,Azurae Collection Drop 4 | Video 6 (Campaign) | ED: 21/10/2025,2,0.19166858,,Incremental,2,1,,,1,,,,,,,2025-10-19,2025-10-19
Houston,2025-10-19,Newness: Collection Ads | Azurae Collection | Feed & Reels |  US,Drop #4 | ED: 22/10/2025,Azurae Collection Drop 4 | Video 6 (Campaign) | ED: 21/10/2025,21,0.37135788,,Incremental,19,1.10526316,,,1,,,,,,,2025-10-19,2025-10-19
