"DMA region",Day,"Campaign name","Ad set name","Ad name",Impressions,"Amount spent (AUD)","Link clicks","Attribution setting",Reach,Frequency,"Adds to cart","2-second continuous video plays","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Reporting starts","Reporting ends"
Harlingen-Wslco-Brnsvl-Mca,2025-10-19,"Seasonal Collection | Stories ,Reels & Feeds | US Only","Full Cup Certified | US Only","Seasonal Shape Sessions | Ad | GIF | Diversity | Product | Standard | Helen Maxi Navy",1,0.03,,Incremental,1,1,,,1,,,,,,,2025-10-19,2025-10-19
Unknown,2025-10-19,"Newness: Collection Ads | Azurae Collection | Feed & Reels |  US","Drop #4 | ED: 22/10/2025","Azurae Collection Drop 4 | Video 6 (Campaign) | ED: 21/10/2025",1,0,5,Incremental,1,1,,,27,,,,,,,2025-10-19,2025-10-19
"Las Vegas",2025-10-19,"Newness: Collection Ads | Azurae Collection | Feed & Reels |  US","Drop #4 | ED: 22/10/2025","Azurae Collection Drop 4 | Video 6 (Campaign) | ED: 21/10/2025",2,0.19166858,,Incremental,2,1,,,1,,,,,,,2025-10-19,2025-10-19
Houston,2025-10-19,"Newness: Collection Ads | Azurae Collection | Feed & Reels |  US","Drop #4 | ED: 22/10/2025","Azurae Collection Drop 4 | Video 6 (Campaign) | ED: 21/10/2025",21,0.37135788,,Incremental,19,1.10526316,,,1,,,,,,,2025-10-19,2025-10-19
