Day,"Campaign name","Ad set name","Ad name",Region,Impressions,"Amount spent (AUD)","Link clicks","Attribution setting",Reach,Frequency,"Adds to cart","2-second continuous video plays","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Reporting starts","Reporting ends"
2025-10-19,"Best Performing Ads | 09/24 | ROW","Top Ads #2 12/09/2025","August Collection Drop 2 | Image 4 | ED: 11/11/2025","Gisborne District",2,0.02,,Incremental,0,0,,,,,,,,,,2025-10-19,2025-10-19
2025-10-19,"Newness: Collection Ads | Feed & Reels | October | US","Drop #1 | ED: 30/12/2025","Ad | GIF | Campaign | Standard | (Social) Willow Coat Chocolate & Beige V2 | ED: 30/12/2025","New Hampshire",1,0.02072423,,Incremental,1,1,,,,,,,,,,2025-10-19,2025-10-19
2025-10-19,"Newness: Collection Ads | Feed & Reels | October | US","Drop #1 | ED: 30/12/2025","Ad | GIF | Campaign | Standard | (Social) Willow Coat Chocolate & Beige V2 | ED: 30/12/2025",Ohio,2,0.05181058,,Incremental,2,1,,,,,,,,,,2025-10-19,2025-10-19
2025-10-19,"Newness: Collection Ads | Feed & Reels | October | US","Drop #1 | ED: 30/12/2025","Ad | GIF | Campaign | Standard | (Social) Willow Coat Chocolate & Beige V2 | ED: 30/12/2025",Georgia,3,0.27977716,,Incremental,3,1,,,,,,,,,,2025-10-19,2025-10-19
