day,campaign_name,ad_set_name,ad_name,region,impressions,amount_spent_aud,link_clicks,attribution_setting,reach,frequency,adds_to_cart,2_second_continuous_video_plays,3_second_video_plays,video_plays_at_25,video_plays_at_50,video_plays_at_75,video_plays_at_95,video_plays_at_100,video_average_play_time,reporting_starts,reporting_ends
2025-10-19,Best Performing Ads | 09/24 | ROW,Top Ads #2 12/09/2025,August Collection Drop 2 | Image 4 | ED: 11/11/2025,Gisborne District,2,0.02,,Incremental,0,0,,,,,,,,,,2025-10-19,2025-10-19
2025-10-19,Newness: Collection Ads | Feed & Reels | October | US,Drop #1 | ED: 30/12/2025,Ad | GIF | Campaign | Standard | (Social) Willow Coat Chocolate & Beige V2 | ED: 30/12/2025,New Hampshire,1,0.02072423,,Incremental,1,1,,,,,,,,,,2025-10-19,2025-10-19
2025-10-19,Newness: Collection Ads | Feed & Reels | October | US,Drop #1 | ED: 30/12/2025,Ad | GIF | Campaign | Standard | (Social) Willow Coat Chocolate & Beige V2 | ED: 30/12/2025,Ohio,2,0.05181058,,Incremental,2,1,,,,,,,,,,2025-10-19,2025-10-19
2025-10-19,Newness: Collection Ads | Feed & Reels | October | US,Drop #1 | ED: 30/12/2025,Ad | GIF | Campaign | Standard | (Social) Willow Coat Chocolate & Beige V2 | ED: 30/12/2025,Georgia,3,0.27977716,,Incremental,3,1,,,,,,,,,,2025-10-19,2025-10-19
