Campaign name,By Day,Subregion,Cost,Impressions,Clicks (destination),Conversions,Frequency,Currency
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-19,California,423.29,36169,194,2,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,California,423.23,20804,396,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-17,California,409.67,32359,214,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-15,Queensland,400.59,35455,184,2,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,New York,399.76,15518,244,5,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-14,Queensland,393.75,48377,111,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-18,California,391.02,26782,118,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-13,California,389.36,39600,139,3,-,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-15,England,386.73,29413,188,0,-,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-13,England,384.78,33362,231,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-12,Florida,381.01,24904,99,1,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-19,California,380.00,23644,84,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-17,Queensland,377.99,33253,135,0,-,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-18,England,377.77,31695,233,2,-,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-17,England,375.83,31636,250,3,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,Texas,374.22,17067,341,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-12,New York,373.81,27492,95,1,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-13,Victoria,370.95,77034,403,10,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,Florida,370.03,14560,244,1,-,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-16,England,369.05,31334,202,3,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-15,California,368.56,16573,370,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-18,Queensland,368.53,45450,101,1,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-17,California,366.64,17957,416,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-15,California,366.25,32215,82,1,-,AUD
Seasonal Collection | US Only,2025-10-19,California,366.18,38940,286,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-13,New South Wales,365.16,28091,171,10,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - Top Markets,2025-10-16,Queensland,361.93,52616,87,1,-,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-19,England,361.78,31642,220,1,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-16,California,358.50,16326,353,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-19,Western Australia,357.65,32458,88,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-12,Victoria,356.86,53553,350,9,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-12,New York,355.77,24863,167,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-15,Western Australia,355.19,49466,88,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-17,California,353.55,33721,124,3,-,AUD
Seasonal Collection | US Only,2025-10-18,Texas,347.08,29451,232,1,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-17,New South Wales,345.38,88760,549,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-16,Victoria,342.02,40969,98,1,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US,2025-10-13,California,335.47,24946,295,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-17,Texas,335.45,29839,227,0,-,AUD
Seasonal Collection | US Only,2025-10-17,Texas,333.57,34100,322,0,-,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-14,England,332.92,25684,207,2,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-17,California,330.06,19385,386,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-17,New York,328.65,28380,208,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-17,Western Australia,326.68,42602,75,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-14,New York,321.30,30347,87,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-13,New York,320.41,24604,174,2,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-14,California,320.26,15312,386,4,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-15,New South Wales,320.13,76931,402,1,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-13,California,319.18,14196,375,3,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-17,Ontario,318.50,94909,534,2,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-16,California,318.31,12315,245,2,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-18,New South Wales,316.58,14379,276,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-12,Texas,315.97,24518,96,2,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-19,New South Wales,313.40,60015,368,1,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-14,New South Wales,313.30,55797,303,6,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-17,England,311.39,49613,288,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-12,New South Wales,308.34,45156,113,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-14,Florida,307.50,26684,74,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-19,New York,307.29,28535,169,1,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-14,New South Wales,306.83,17920,289,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-14,California,305.50,24528,108,5,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-18,Ontario,304.15,91768,541,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-15,Queensland,303.53,76571,418,0,-,AUD
Seasonal Collection | US Only,2025-10-13,California,301.99,32945,213,3,-,AUD
Seasonal Collection | US Only,2025-10-16,Texas,301.14,35302,223,3,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-16,New York,300.75,11297,251,2,-,AUD
Seasonal Collection | US Only,2025-10-18,Florida,300.15,22318,183,2,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-17,Texas,298.31,24452,67,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-12,Florida,296.93,18729,141,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-19,Texas,296.21,27264,186,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-18,New South Wales,295.78,23739,91,1,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-13,California,293.95,24687,77,2,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-13,New South Wales,293.82,17799,439,6,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-14,Texas,292.46,27924,80,5,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-13,Western Australia,289.83,41458,73,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-19,Queensland,288.52,33681,64,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-18,New York,286.66,22240,124,1,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-16,Texas,284.40,13187,282,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-12,Texas,281.83,20136,173,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-13,New York,281.79,11267,250,1,-,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-12,England,281.10,20478,154,3,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-18,New South Wales,278.80,63241,406,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-16,California,278.17,56707,477,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-13,Victoria,277.23,22227,149,8,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US,2025-10-13,California,277.02,25381,331,7,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-16,Florida,276.63,11383,229,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-17,Florida,276.33,25581,207,2,-,AUD
Seasonal Collection | US Only,2025-10-15,Texas,274.70,30544,222,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-19,England,272.75,24810,259,1,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-17,New York,272.72,22945,81,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-13,New York,272.33,26863,98,2,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,Queensland,272.25,13518,251,3,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-17,Texas,269.50,13766,370,5,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-13,Texas,267.70,19813,159,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-15,California,267.67,17613,130,3,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-18,Texas,267.58,20838,56,0,-,AUD
Seasonal Collection | US Only,2025-10-18,New York,267.52,20501,180,2,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-18,New York,267.38,21431,81,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-17,Florida,263.98,21396,60,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-18,Texas,263.09,20813,121,0,-,AUD
Seasonal Collection | US Only,2025-10-16,Florida,262.28,28222,168,1,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-15,Texas,259.72,21704,70,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-15,California,259.35,24083,466,4,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-14,New York,257.34,10953,241,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-16,New South Wales,255.97,21882,77,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-18,England,255.84,26508,261,1,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-17,Texas,255.61,14608,293,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-14,Victoria,255.60,15081,269,1,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-16,Texas,255.21,9880,214,1,-,AUD
Seasonal Collection | US Only,2025-10-17,Florida,254.88,23696,213,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-19,California,253.39,24159,79,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-17,Victoria,252.11,70060,426,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-17,Texas,251.46,24245,79,1,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-16,New York,250.37,7960,150,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-17,New York,250.06,10438,237,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-19,Florida,250.05,22268,182,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-17,New York,249.48,12200,228,1,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-13,Florida,249.47,9906,233,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-14,New York,246.66,20461,101,0,-,AUD
Seasonal Collection | US Only,2025-10-15,Florida,245.91,24648,180,2,-,AUD
Seasonal Collection | US Only,2025-10-19,Texas,245.86,25978,213,2,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-17,Florida,243.31,11332,246,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-13,Florida,242.60,16994,158,3,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-16,California,241.12,9101,356,6,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-15,Florida,240.17,17721,54,1,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-15,Victoria,239.94,61824,313,3,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-16,Florida,239.53,8435,218,2,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-13,Queensland,239.36,46336,234,5,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - Top Markets,2025-10-14,New South Wales,239.02,26390,64,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-15,Western Australia,238.18,20531,106,1,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-13,Texas,237.54,11568,276,4,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-18,Florida,237.33,18210,58,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-13,Texas,236.59,23356,92,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-17,Florida,235.72,20617,95,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-16,Queensland,235.47,25632,62,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-14,California,235.00,17555,58,2,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-19,Victoria,233.96,48217,307,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-15,South Australia,233.67,36081,63,3,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,New Jersey,233.08,17966,52,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-13,Florida,232.31,21049,77,3,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-19,Texas,232.24,14162,62,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-14,California,230.93,24111,254,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-14,Texas,230.70,11313,278,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-14,Western Australia,229.79,28557,48,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,New Jersey,229.67,22299,122,1,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-17,Florida,228.12,12458,221,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-15,New York,226.09,18405,60,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-17,Western Australia,225.90,19167,75,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-12,Queensland,225.48,31486,160,4,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-13,California,225.47,11562,231,2,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-17,California,225.26,6345,203,3,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-15,Texas,225.07,18805,378,3,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-14,Florida,224.38,8824,228,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,Illinois,224.24,22786,111,1,-,AUD
Seasonal Collection | US Only,2025-10-16,New York,223.88,23744,147,3,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-13,Victoria,223.01,14614,321,2,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-19,New York,220.99,14065,52,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-15,England,219.70,27059,121,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-16,Texas,219.43,41152,459,4,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-12,California,216.47,9673,176,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-18,Victoria,216.38,17976,78,1,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-15,New York,213.88,16105,349,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-18,California,213.11,19610,78,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-16,California,212.86,20015,46,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-12,Victoria,212.72,33906,71,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-18,Western Australia,212.43,25019,44,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-15,New York,212.13,7566,166,1,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-19,Florida,211.81,12233,37,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-17,South Australia,209.54,31132,52,1,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-18,California,208.90,15778,221,5,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-14,Victoria,207.28,43602,225,1,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-14,California,206.84,8232,265,1,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-13,New York,205.36,15900,65,1,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - Top Markets,2025-10-17,New South Wales,205.14,27585,46,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-18,Florida,205.08,16445,95,1,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-16,Florida,204.98,34124,346,4,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-18,Victoria,204.78,11303,213,4,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-15,Texas,204.16,18685,63,1,-,AUD
Seasonal Collection | US Only,2025-10-17,New York,203.98,19448,156,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,Unknown,203.91,21584,178,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-17,New York,203.16,18646,62,1,-,AUD
