Campaign name,By Day,Subregion,Cost,Impressions,Clicks (destination),Conversions,Frequency,Currency
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-16,Colorado,15.51,4537,28,2,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-16,Indiana,15.51,820,29,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-18,Oklahoma,15.51,403,8,1,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-17,Ohio,15.51,2252,29,0,-,AUD
Newness: Collection Ads | Conversions - CPA | October | Top Markets,2025-10-12,Ontario,15.48,2775,18,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-12,South Australia,15.47,4863,17,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-19,Greater Melbourne,15.46,1847,276,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-12,Washington,15.46,835,12,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-19,Maryland,15.45,724,30,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-13,Louisiana,15.45,1046,32,0,-,AUD
Seasonal Collection | Top Markets NEW,2025-10-16,Queensland,15.44,3271,23,0,-,AUD
Seasonal Collection | US Only,2025-10-19,Indiana,15.44,1749,16,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-12,Louisiana,15.43,759,14,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - ROW,2025-10-19,Auckland Region,15.41,659,3,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - US,2025-10-17,Virginia,15.41,1525,12,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-17,Ile de France,15.40,2897,22,0,-,AUD
Seasonal Collection | US Only,2025-10-14,Ohio,15.39,1531,12,1,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-16,Washington,15.39,767,25,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-12,Utah,15.38,1318,4,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-15,Greater Perth,15.37,1299,225,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-16,Oklahoma,15.37,846,17,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-17,Utah,15.36,1298,2,0,-,AUD
Seasonal Collection | Europe,2025-10-17,Viken,15.36,2415,15,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-12,Quebec,15.34,5803,27,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-13,Nevada,15.34,900,14,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,Tasmania,15.33,725,10,0,-,AUD
Seasonal Collection | US Only,2025-10-19,South Carolina,15.33,1610,16,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US,2025-10-12,Nevada,15.32,1351,13,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US,2025-10-13,Tennessee,15.29,1460,11,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-17,Northern Ireland,15.28,2842,16,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-19,Oklahoma,15.27,1306,3,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-15,New Jersey,15.27,1643,5,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-19,Connecticut,15.26,1383,5,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - US,2025-10-12,Unknown,15.25,1452,6,0,-,AUD
Seasonal Collection | US Only,2025-10-17,Oklahoma,15.24,1566,12,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US,2025-10-12,Colorado,15.24,1512,20,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - US,2025-10-17,Ohio,15.23,1253,12,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-18,Unknown,15.21,1354,4,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-15,Alabama,15.18,1272,14,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Europe,2025-10-19,Dublin City,15.17,4276,24,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,New Mexico,15.17,611,7,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-17,Alberta,15.17,3645,22,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-12,Greater Perth,15.17,1309,368,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - US,2025-10-16,Texas,15.15,1514,6,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-14,Massachusetts,15.13,4452,38,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-14,Washington,15.13,1110,7,0,-,AUD
Seasonal Collection | US Only,2025-10-13,Louisiana,15.12,1585,9,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-14,Wallonia,15.12,2855,17,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-15,Indiana,15.10,1009,10,0,-,AUD
Seasonal Collection | Europe,2025-10-15,North Brabant,15.09,2416,12,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-14,District of Columbia,15.08,1399,1,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-18,Massachusetts,15.07,758,17,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - US,2025-10-14,Unknown,15.06,1844,5,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-19,Nevada,15.04,462,7,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-18,North Carolina,15.03,1859,19,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-13,Utah,15.02,542,15,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-13,Minnesota,15.01,981,33,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,New Mexico,15.01,1484,9,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Suiting Collection - ROW,2025-10-17,Auckland Region,14.99,1768,144,0,-,AUD
Seasonal Collection | Top Markets NEW,2025-10-13,Wellington Region,14.96,8426,30,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-13,Missouri,14.95,713,8,0,-,AUD
Seasonal Collection | Top Markets NEW,2025-10-17,Canterbury Region,14.94,4368,14,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US,2025-10-13,Colorado,14.94,1648,11,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-13,Indiana,14.94,955,31,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-15,South Carolina,14.93,1256,1,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-16,South Australia,14.92,2293,13,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-19,Arizona,14.92,1036,30,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-18,Massachusetts,14.91,1956,16,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-18,Greater Melbourne,14.91,2355,147,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - US,2025-10-16,Florida,14.90,1232,7,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-18,District of Columbia,14.90,526,11,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-18,Oregon,14.90,985,2,0,-,AUD
Seasonal Collection | US Only,2025-10-14,Colorado,14.89,1480,16,0,-,AUD
Newness: Collection Ads | Conversions | Azurae Collection - Europe,2025-10-12,Ile de France,14.88,3383,21,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-13,Louisiana,14.88,1363,3,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-14,Indiana,14.87,1247,6,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-15,British Columbia,14.86,4638,25,0,-,AUD
Seasonal Collection | US Only,2025-10-19,Alabama,14.85,1386,23,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,Rhode Island,14.85,620,9,0,-,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-12,Northern Ireland,14.84,1542,20,1,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-19,Unknown,14.84,1752,18,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-18,Quebec,14.84,2401,30,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Top Markets 13-17,2025-10-13,Victoria,14.83,1338,13,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-14,Uusimaa,14.83,3815,20,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Europe,2025-10-12,Ile de France,14.83,3035,21,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-18,Washington,14.80,970,25,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-17,Massachusetts,14.80,2317,25,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-17,Attiki,14.79,4314,43,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - US,2025-10-16,New York,14.79,1179,3,0,-,AUD
Seasonal Collection | US Only,2025-10-16,Utah,14.78,1828,9,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-18,Tasmania,14.76,2180,21,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,Rhode Island,14.76,1378,1,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - ROW,2025-10-12,Dubai,14.75,1934,12,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-19,South Carolina,14.75,946,2,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-13,Wisconsin,14.74,1084,9,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-14,South Carolina,14.74,685,21,0,-,AUD
Seasonal Collection | Europe,2025-10-17,North Brabant,14.74,2944,15,0,-,AUD
Seasonal Collection | Europe,2025-10-17,Uusimaa,14.74,3519,15,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-18,South Carolina,14.74,1287,2,0,-,AUD
Newness: Collection Ads  | Conversions | October | Funnel - Top Markets 13-17,2025-10-13,Georgia,14.74,644,9,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-15,Indiana,14.73,697,19,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-17,Ohio,14.73,646,26,0,-,AUD
Seasonal Collection | US Only,2025-10-18,Utah,14.72,1402,11,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-18,England,14.70,1600,26,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Top Markets 13-17,2025-10-12,Illinois,14.68,576,3,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-16,Australian Capital Territory,14.68,1788,16,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Europe,2025-10-14,Dublin City,14.66,4798,6,0,-,AUD
Seasonal Collection | Europe,2025-10-15,Provence Alpes Cote d'Azur,14.66,2811,11,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,Idaho,14.66,944,3,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-14,Connecticut,14.66,1237,4,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-15,District of Columbia,14.65,471,15,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-12,New Jersey,14.64,1295,1,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US,2025-10-14,New Jersey,14.62,1202,8,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-17,Oregon,14.61,1182,5,0,-,AUD
Seasonal Collection | Europe,2025-10-15,Brussels-Capital Region,14.60,4280,28,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - Top Markets,2025-10-16,England,14.59,1744,3,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-16,Hawaii,14.59,1478,15,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Top Markets 13-17,2025-10-13,Virginia,14.59,465,7,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-12,Georgia,14.57,1425,20,1,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-12,Tennessee,14.56,868,14,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - US,2025-10-14,Arizona,14.55,1575,4,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-13,Indiana,14.55,1237,2,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Top Markets 13-17,2025-10-13,North Carolina,14.54,483,4,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-14,Tennessee,14.53,1899,19,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - US,2025-10-12,Georgia,14.49,1175,6,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,Mississippi,14.48,1342,3,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-14,Lazio,14.48,4151,33,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-13,South Australia,14.46,3501,30,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - US,2025-10-15,Florida,14.45,1483,8,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-17,Utah,14.45,1065,3,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-19,Oregon,14.44,1211,3,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-13,South Australia,14.44,2646,13,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-14,Greater Brisbane,14.42,1833,196,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-18,Utah,14.42,1095,4,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-15,District of Columbia,14.41,1139,3,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-18,Minnesota,14.41,1130,26,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-12,Nevada,14.41,647,11,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-13,Minnesota,14.40,702,20,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-18,Louisiana,14.40,1340,25,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - ROW,2025-10-19,Dubai,14.40,1989,9,0,-,AUD
Newness: Collection Ads  | Conversions | October | Funnel - Australia 13-17,2025-10-19,Greater Brisbane,14.39,959,110,0,-,AUD
Seasonal Collection | Europe,2025-10-15,Auvergne Rhone Alpes,14.37,2580,23,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-17,Oregon,14.36,1233,6,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-18,North Rhine Westphalia,14.36,2272,12,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-18,Virginia,14.36,1842,24,0,-,AUD
Seasonal Collection | Europe,2025-10-17,Brussels-Capital Region,14.36,4465,22,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-16,Kentucky,14.34,710,30,1,-,AUD
Seasonal Collection | Europe,2025-10-15,Uusimaa,14.34,2896,17,1,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-15,Louisiana,14.33,1249,30,0,-,AUD
Newness: Collection Ads | Conversions | Azurae Collection | Top Markets,2025-10-12,Unknown,14.32,1369,12,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-16,Missouri,14.31,1075,5,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-16,District of Columbia,14.31,790,16,0,-,AUD
Seasonal Collection | Europe,2025-10-15,Madrid,14.31,3149,18,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-17,Baden Wurttemberg,14.30,1784,8,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-18,Minnesota,14.30,1292,5,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,Iowa,14.30,1069,3,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Europe,2025-10-18,Auckland Region,14.29,2247,6,0,-,AUD
Seasonal Collection | Europe,2025-10-15,Lower Saxony,14.29,2116,16,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - US,2025-10-18,Texas,14.28,1317,8,0,-,AUD
Newness: Collection Ads | Conversions - CPA | October | US,2025-10-16,Texas,14.27,963,9,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-17,British Columbia,14.27,3255,12,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-12,South Australia,14.27,3441,18,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-14,Colorado,14.25,2341,15,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-14,Brussels-Capital Region,14.25,4615,42,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US,2025-10-14,Connecticut,14.24,1292,18,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US,2025-10-13,Connecticut,14.24,1489,12,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-14,Kentucky,14.23,1239,5,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-18,Colorado,14.23,1621,9,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-15,Canterbury Region,14.22,7447,31,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-15,South Carolina,14.20,1336,4,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Europe,2025-10-16,Bavaria,14.19,4973,20,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-19,District of Columbia,14.18,812,3,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Europe,2025-10-16,South Holland,14.18,5710,26,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Suiting Collection - ROW,2025-10-17,Sharjah,14.17,1890,115,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-16,Rhode Island,14.17,545,16,0,-,AUD
Seasonal Collection | Europe,2025-10-15,Viken,14.16,1819,16,1,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Europe,2025-10-12,North Rhine Westphalia,14.15,2378,8,1,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-14,Ohio,14.14,2352,14,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - US,2025-10-14,Michigan,14.14,1665,10,1,-,AUD
Seasonal Collection | US Only,2025-10-18,Kentucky,14.13,1110,7,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-14,South Australia,14.13,1715,6,0,-,AUD
Newness: Collection Ads | Conversions - CPA | October | US,2025-10-18,Texas,14.11,1377,2,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-15,Ohio,14.11,1840,11,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-17,Unknown,14.11,3987,23,1,-,AUD
Seasonal Collection | Europe,2025-10-12,Dublin City,14.10,4477,29,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-15,Wisconsin,14.09,1082,3,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-13,Alabama,14.09,1717,6,0,-,AUD
Newness: Collection Ads  | Conversions | October | Funnel - Top Markets 13-17,2025-10-14,Illinois,14.09,1237,6,0,-,AUD
Seasonal Collection | US Only,2025-10-15,Alabama,14.08,1753,10,0,-,AUD
Newness: Collection Ads | Conversions - CPA | October | US,2025-10-16,Florida,14.05,741,4,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-17,Wisconsin,14.05,1313,3,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-13,Michigan,14.04,1962,16,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Top Markets 13-17,2025-10-13,Pennsylvania,14.04,643,4,1,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - US,2025-10-15,Maryland,14.04,1222,6,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-15,Oregon,14.02,604,18,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - US,2025-10-18,Illinois,14.02,1166,12,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-13,New South Wales,14.01,1404,19,1,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-19,New South Wales,14.01,2484,58,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US,2025-10-12,Colorado,14.01,1044,13,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Suiting Collection - Top Market,2025-10-12,England,14.00,752,6,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-12,Connecticut,14.00,751,7,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-18,South Carolina,13.99,1185,13,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-17,Kentucky,13.99,750,26,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-15,Missouri,13.98,733,24,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-16,Baden Wurttemberg,13.97,1407,6,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-19,Georgia,13.97,1536,15,0,-,AUD
Seasonal Collection | Europe,2025-10-15,Oslo,13.94,2268,19,0,-,AUD
Seasonal Collection | Europe,2025-10-17,Vastra Gotaland,13.94,1980,6,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-19,Washington,13.93,446,9,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-19,Tasmania,13.91,2086,5,0,-,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Top Markets 13-17,2025-10-13,Alabama,13.90,206,0,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - US,2025-10-15,North Carolina,13.90,1294,6,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-17,Bavaria,13.89,1932,15,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - Top Markets,2025-10-16,Scotland,13.89,1627,5,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-19,Scotland,13.88,2069,4,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-14,Nevada,13.86,2064,14,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-17,Maryland,13.84,2156,8,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - US,2025-10-13,Oregon,13.83,1028,9,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Suiting Collection - ROW,2025-10-12,Dubai,13.82,846,11,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-19,Arizona,13.80,727,9,0,-,AUD
Newness: Collection Ads  | Conversions | August | Funnel - US,2025-10-18,Florida,13.79,1199,9,0,-,AUD
BEST SELLERS | Conversions  | Top Markets,2025-10-16,Pennsylvania,13.79,1855,16,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US (Updated),2025-10-16,Minnesota,13.79,4171,43,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-15,Wisconsin,13.78,1248,4,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-12,Unknown,13.77,1021,8,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Europe,2025-10-12,Lombardy,13.74,3755,11,0,-,AUD
Seasonal Collection | US Only,2025-10-15,Oregon,13.74,1770,13,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Europe,2025-10-16,Baden Wurttemberg,13.74,4689,18,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-17,Manitoba,13.72,5067,24,1,-,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - US,2025-10-16,New Mexico,13.72,1190,2,0,-,AUD
Top Ads | Catalog Test | Cost Cap | Automatic | US,2025-10-13,Colorado,13.72,1430,14,0,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - US,2025-10-12,Arizona,13.71,1198,2,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-15,Iowa,13.70,608,12,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-17,Michigan,13.69,2223,18,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - US,2025-10-16,Illinois,13.69,1245,8,0,-,AUD
Newness: Collection Ads  | Conversions | October | Funnel - Top Markets 13-17,2025-10-14,Massachusetts,13.68,1001,10,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-15,Missouri,13.67,1266,2,0,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-13,Wisconsin,13.66,1442,2,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Top Markets,2025-10-17,Ohio,13.66,1964,14,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-12,Australian Capital Territory,13.66,1988,10,0,-,AUD
Newness: Conversions | Search Campaign Dress - US/AU,2025-10-13,Alabama,13.64,706,15,0,-,AUD
Seasonal Collection | US Only,2025-10-15,Utah,13.63,1576,7,0,-,AUD
Newness: Collection Ads | Conversions | August Collection - Europe,2025-10-15,North Rhine Westphalia,13.63,2101,16,0,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-18,Unknown,13.63,3216,25,0,-,AUD
Newness: Collection Ads  | Conversions | October | Funnel - Australia 13-17,2025-10-18,Greater Brisbane,13.61,2413,235,0,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-14,District of Columbia,13.61,405,9,1,-,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-12,Unknown,13.61,1958,11,1,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-17,Oregon,13.60,786,30,0,-,AUD
