Campaign name,By Day,Ad name,Campaign ID,Ad group name,Ad group ID,Ad ID,Cost,Impressions,Clicks (destination),Frequency,Conversions,Video views,2-second video views,6-second video views,Video views at 100%,Video views at 75%,Video views at 50%,Video views at 25%,Average play time per video view,Adds to cart (website),Add to cart value (website),Currency
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-15,PR Content GRWM Yasmin Bright Celestia | TikTok | ED: 31/12/2025,1842332114924626,Cold #3 - 24/9/2025,1844242652257410,1844857897167010,0.38,50,7,1.85,0,65,40,27,24,25,27,40,6.03,0,0.00,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Top Markets 13-17,2025-10-15,Babyboo Suiting Vol 1 Launch | TikTok | ED: 19/12/2025,1842332406660097,Cold #2 - 12/9/2025,1843043755552338,1843695566578737,0.38,21,1,1.31,0,19,7,5,4,4,4,4,7.38,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Europe,2025-10-15,Nerdia Set Orange Pan Up | TikTok | ED: 15/11/2025,1839252302887954,Cold #1 - 8/1/2025,1839260625409089,1840534650353666,0.38,46,0,1.00,0,47,18,4,2,4,8,17,2.63,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - US,2025-10-14,Alaia Lemon Reaction | TikTok | ED: 25/11/2025,1841504151797777,Cold #2 - 8/22/2025,1841504151797793,1841710766912546,0.38,45,0,1.07,0,45,10,3,0,0,2,3,1.63,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - All Market 13-17,2025-10-14,Solune Collection Flicker | TikTok | ED: 25/11/2025,1839261054431282,Cold #2 - 8/22/2025,1841161187480610,1841711206094849,0.38,35,0,1.09,0,28,1,0,0,0,0,1,0.84,0,0.00,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Top Markets 13-17,2025-10-13,Morven Fit Check Ivory | TikTok | ED: 26/12/2025,1842332406660097,Cold #2 - 12/9/2025,1843043755552338,1843055247737970,0.38,82,6,1.46,0,86,37,28,15,16,19,31,4.17,0,0.00,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-18,August Collection Drop 2 | Video 5 (Ecom Reaction/Compilation) | ED: 11/11/2025,1828313328645185,Competitors - August 7th - September 2nd,1842161120461938,1842162507785250,0.38,16,0,1.14,0,15,2,1,1,1,1,1,2.06,0,0.00,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-16,Atelier Sept Drop 1 Flicker | TikTok | ED: 06/12/2025,1842332114924626,Cold #1 - 4/9/2025,1842332114924642,1842426078519330,0.38,47,11,1.18,0,76,32,30,32,32,32,32,4.91,0,0.00,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - US,2025-10-16,Atelier 2 Collection Drop 1 | Video 5 (Campaign) | ED: 25/11/2025,1842786709107793,Drop- #1 | ED: 25/11/2025,1842786709107809,1842786709109841,0.38,44,0,1.00,0,44,3,1,1,1,1,2,1.42,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-16,Patricia 1 Dress Styled 2 Ways Ivory | TikTok | ED: 18/12/2025,1842432547494225,Cold #2 - 12/9/2025,1843042348831761,1843691005267969,0.38,50,0,1.00,0,51,3,0,0,0,0,1,0.95,0,0.00,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-18,Eileen Hands In Makeup Ivory | TikTok | ED: 08/12/2025,1842332114924626,Cold #1 - 4/9/2025,1842332114924642,1842801700922449,0.38,77,9,2.33,0,88,66,66,64,66,66,66,6.83,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-17,Prim Corset + Ethel Skirt GRWM Dressing | TikTok | ED: 21/11/2025,1839260273016914,Cold #2 - 8/22/2025 US Excluded,1841505490794561,1841505490795537,0.38,33,1,1.18,0,23,1,0,0,0,0,0,0.80,0,0.00,AUD
Newness: Collection Ads  | Conversions | October | Funnel - Australia 13-17,2025-10-19,Boosted | Video | Camapign | Fitcheck | Standard | Julia - Ainsley Bugundy | ED: 09/01/26,1845132488132721,Cold #1 - 3/10/2025,1845132488133633,1845862191895570,0.38,63,10,5.25,0,64,49,13,11,13,13,13,6.47,0,0.00,AUD
